,FAQ_Titles,FAQ_Desc,FAQ_Urls
0,What should I do if I can’t find my debit card?,"You should contact us straight away. You can do this online, on your mobile, over the phone or in branch. We’ll explain how here.",https://www.barclays.co.uk/help/cards/debit-card/lost-stolen/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard
1,What should I do if I can’t find my Business debit card?,"You should contact us straight away. You can do this online, on your mobile, over the phone or in branch. We’ll explain how here.",https://www.barclays.co.uk/help/cards/business-debit-card/lost-stolen/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard
2,Need help with an error code?,,https://www.barclays.co.uk/help/online-banking/using-online-banking/need-help-with-an-error-code/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard
3,Need help with an error code?,,https://www.barclays.co.uk/help/online-banking/using-online-banking/need-help-with-an-error-code-in-app/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard
4,Need help with an error code?,ll,https://www.barclays.co.uk/ways-to-bank/error-codes/app-faq-version/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard
5,Need help with an error code?,ll,https://www.barclays.co.uk/ways-to-bank/error-codes/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard
6,Need help with another question?,,https://www.barclays.co.uk/help/barclays-partner-finance/Need-help-with-another-question/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard
7,Personalise your debit card,"Personalise your debit card with a favourite photo, or pick an image from our gallery.",https://www.barclays.co.uk/current-accounts/debit-cards/personalised-cards/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard
8,Managing your debit card,"Whether you’re in the UK or abroad, it’s simple to manage your debit card online using the ‘Cards’ section of your Barclays app.",https://www.barclays.co.uk/current-accounts/debit-cards/card-management/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard
9,Personalised debit card guidelines,Want to customise your debit card with a photo? Find out about the types of photos you can and can’t add to your card with our guidelines for personalised,https://www.barclays.co.uk/current-accounts/debit-cards/personalised-cards-guidelines/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard
10,Support with debit card purchases,Support if something goes wrong with a purchase you’ve made with your Barclays debit card.,https://www.barclays.co.uk/current-accounts/debit-cards/purchase-support/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D10%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
11,Personalising your debit card FAQs,Frequently asked questions about Barclays personalised cards. Find the answers you need from commonly asked queries.,https://www.barclays.co.uk/current-accounts/debit-cards/personalised-cards-faq/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D10%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
12,Using your debit card abroad,"You can use your debit card, in shops, restaurants, petrol stations and hotels worldwide. You can also withdraw cash abroad in ATMs.",https://www.barclays.co.uk/travel/using-debit-card-abroad/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D10%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
13,Lost or stolen debit card,,https://www.barclays.co.uk/help/contact-us/lost-and-stolen-debit-card/lost-or-stolen-debit-card/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D10%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
14,Personalised debit card terms and conditions,Personalise your Barclays debit card with a photo. Make sure you are aware of guidelines and the terms and conditions when personalising your debit card.,https://www.barclays.co.uk/current-accounts/debit-cards/personalised-cards-term-conditions/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D10%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
15,Why haven’t I been given a contactless debit card?,"When you opened your Barclays account, you may not have been eligible for a contactless card. Find out more here.",https://www.barclays.co.uk/help/cards/contactless/why-not-given/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D10%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
16,Can I use my debit card to guarantee a cheque?,You don’t need to anymore – the Payments Council scrapped the cheque-guarantee card scheme in 2011.,https://www.barclays.co.uk/help/cards/debit-card/guarantee-cheque/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D10%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
17,Will I be charged for using my debit card abroad?,"See if you'll be charged for using a cash machine abroad, and what that may be, here.",https://www.barclays.co.uk/help/cards/using-cards/charges-abroad/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D10%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
18,What is ‘Visa Secure’ for online debit card payments?,Visa Secure (formerly known as Verified by Visa) helps protect your account against fraud and unauthorised use.,https://www.barclays.co.uk/help/security-fraud/verified-visa/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D10%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
19,Can I use my Barclays debit card when I'm abroad?,Find out whether you can use your debit card abroad and how much it will cost.,https://www.barclays.co.uk/help/cards/using-cards/connect-abroad/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D10%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
20,Which branches offer the temporary debit card facility?,"If you need to instantly replace your debit card, you can do this at any of the 267 branches that offer this service. Find out more here.",https://www.barclays.co.uk/help/accounts/account-services/instant-card-branches/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D20%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
21,"How do I report my debit card damaged, lost or stolen?","Find out what to do if your card is lost, stolen or damaged.",https://www.barclays.co.uk/help/cards/debit-card/lost-stolen-damaged/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D20%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
22,What's the difference between a debit and credit card?,Read about the differences between a credit card and debit card here.,https://www.barclays.co.uk/help/cards/debit-card/difference-debit-credit/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D20%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
23,How can my business accept credit or debit card payments?,Barclaycard Business can help you with this. You’ll find how to contact them here.,https://www.barclays.co.uk/help/business/services/accept-card-payments/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D20%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
24,I’ve received a new debit card but I didn’t order one.,There are several reasons why we might have sent you a new debit card for your Barclays account. See them here.,https://www.barclays.co.uk/help/cards/debit-card/why-new-card/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D20%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
25,Why hasn’t a debit card payment been debited from my account balance?,This could be because the merchant hasn’t yet claimed the payment – it can take them a few days to do so. We explain more about this here.,https://www.barclays.co.uk/help/payments/payment-information/not-debited/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D20%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
26,I’ve forgotten my debit card PIN. How do I get a reminder?,See how you can get a reminder of your debit card PIN if you've forgotten it.,https://www.barclays.co.uk/help/cards/pin/forgot-pin/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D20%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
27,Do I need my 4-digit PIN or debit card to use Mobile PINsentry?,"No, you'll just need your 5-digit Barclays Mobile Banking passcode to use Mobile PINsentry.",https://www.barclays.co.uk/help/mobile-banking/pinsentry/need-pin/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D20%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
28,What are the daily payment limits for my Barclays Mobile Banking for BarclayPlus app?,The daily payment limits are the same as those on your cash or debit card – see what they are.,https://www.barclays.co.uk/help/mobile-banking/Payments/barclayplus-app-payment-limits/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D20%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
29,What happens to any debit card transactions I've asked my old bank to stop?,"When you switch to Barclays, any debit card transactions you asked your old bank to stop will be unaffected.",https://www.barclays.co.uk/help/accounts/switching/debit-trans-stopped/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D20%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
30,How do I control how my debit card is used abroad with my Barclays app?,Use your Barclays app to prevent in-store debit card payments abroad,https://www.barclays.co.uk/help/mobile-banking/spending/in-store-international-spending/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D30%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
